CT,GeoMax,HarMax,CtyMax,ProMax,Value,ValGeo,GeoLim,ValHar,HarLim,GeoRank,HarRank,Nguong1,GeoNgn1,HarNgn1,ProNgn1,CtyNgn1,Values_Ngn1,ValGeoNgn2,GeoNgn2,ValHarNgn2,HarNgn2,ProNgn2,CtyNgn2,Values_Ngn2,Nguong_mm3,MinGeo3,MinHar3,ProNgn_mm3,CtyNgn_mm3,Values_Ngn_mm3,ValGeoNgn3,GeoNgn3,ValHarNgn3,HarNgn3,ProNgn3,CtyNgn3,Values_Ngn3,Slope_avg,Slope_wgt_avg
+4*6-0*2-13*13,0.8922365913839819,0.8562460500461694,CMX,1.128205128205128,0.7665019061096696,8.339173113958605,1.06,8.339173113958605,1.0599999999999998,0.28638525767655226,0.17464597938593399,0.02931867828799168,1.146656315106616,1.0872080667507829,1.0667113433521016,CMX_PIT_ACL_TS4_SAV,[0.76650191 0.37986951 0.23241495 0.09857379 0.08643251],0.02931867828799168,1.9249380835509755,0.02931867828799168,1.6889471860420082,1.06,,[],8.339173113958605,1.06,1.06,1.06,,[],0.06996519001660949,1.3930587897320172,0.06996519001660949,1.2479947002660485,1.06,,[],0.9050641736059579,0.924105171091569
+0*2/33-14*18/1,0.6775558245365899,0.20235166727138745,PTL,1.3125,11457.6040224824,0.11302252257088874,1.1554977805064406,0.11302252257088874,1.0808417161022352,0.23540648017740004,0.042319287842076954,0.11673051045728117,1.297013495605276,1.2270646673423227,1.1605827556325825,PTL_PTC,[1.14576040e+04 2.75446221e+00],-0.043077650644210805,1.7726200588543457,-0.043077650644210805,1.643961597629963,1.06,,[],5601.775919530065,1.06,1.06,1.3125,PTL,[11457.60402248],-0.06717068612902954,1.3235859584637,-0.06717068612902954,1.2369064983603268,1.06,,[],1.1211266129114603,0.0
+1*2/33+4*4/13,5.020415582822245e-33,0.0,PTL,1.3125,2414.2992353041836,1528.337356539948,1.06,1528.337356539948,1.0599999999999998,0.21343375565587888,0.031030364540802803,1528.337356539948,1.1433177984277856,1.0599999999999998,1.3125,PTL,[2414.2992353],14.168534833239121,1.94899846191783,14.168534833239121,1.6437945596316337,1.06,,[],1528.337356539948,1.06,1.06,1.3125,PTL,[2414.2992353],14.168534833239121,1.2623644103344362,6.505095695108338,1.1364997326580184,1.06,,[],0.49075150509993204,0.6961970582270485
+6*21/30+7*20/13,0.806335640431577,0.6987468341475647,PTL,1.3125,2892.6626193060943,515.7561252733298,1.06,515.7561252733298,1.0599999999999998,0.29232349421717213,0.17370715252424637,11.15421473934963,1.214908137675892,1.140025864040835,0.8643762561997997,PTL_DHM_SFI_ST8_SCD,[2892.66261931  104.83513363   28.99039259   16.63041744   12.92556392],9.772788497281486,1.8675655561658266,9.772788497281486,1.6427038572596615,1.06,,[],515.7561252733298,1.06,1.06,1.3125,PTL,[2892.66261931],9.772788497281486,1.1416820863108508,9.772788497281486,1.122853693986648,1.06,,[],0.16055502593186466,-0.34850775653925714
+24*31/21+29*34/5,1.092456647121304,0.8250949696914086,LCG,1.33495145631068,148.82541325737563,1.5778916495857462,1.418643648040923,1.5778916495857462,1.2430937281798278,0.3999633750467436,0.19213749448796838,2.585998877164809,1.3912374180781866,1.3108348782028512,1.3599238780716791,LCG_CDO_HAX_DCM_ASP_HAI_LDG_FCM_CMV_TLH,"[148.82541326  93.77320648  38.40917042  11.78064747   8.33617683
   6.37411077   4.42481599   3.51091697   3.16888796   3.0935142 ]",0.7110209899594175,1.7318778275695326,0.7110209899594175,1.6374933291512535,1.3216257334001815,HAX_HAI_LDG_TLH_PNJ_HSG_BFC_VNS_MCP,"[38.40917042  6.37411077  4.42481599  3.0935142   2.02176271  1.33028948
  1.30968311  1.30095713  0.7971831 ]",2.585998877164809,1.2655086385696845,1.2311124790244428,1.3599238780716791,LCG_CDO_HAX_DCM_ASP_HAI_LDG_FCM_CMV_TLH,"[148.82541326  93.77320648  38.40917042  11.78064747   8.33617683
   6.37411077   4.42481599   3.51091697   3.16888796   3.0935142 ]",0.35653884126033536,1.2977883915377852,0.35653884126033536,1.2475919332324845,1.236263774731176,TLH_PNJ_DHM_TDC_KSB,[3.0935142  2.02176271 1.54896594 1.14848667 0.53064106],2.0914650854395544,2.208963104482764
+1+1+7+8+9-13-14,0.7547819949299814,0.6140175747482519,GTA,1.291338582677165,2.878950710744067,6.269316770656962,1.073670540961266,6.269316770656962,1.0703876253643312,0.2703133364812939,0.0798134037348487,3.0496667877642656,1.1230124761646494,1.0958020380018678,1.06,,[],0.14926356720139272,1.8130311589561152,0.14926356720139272,1.633708098191448,1.2248427438031344,SMC_PGC,[1.08405643 0.68488382],24.941451651928475,1.06,1.06,1.06,,[],0.14926356720139272,1.4756668493052918,0.14926356720139272,1.3222981189256982,1.2248427438031344,SMC_PGC,[1.08405643 0.68488382],0.9237217500332999,0.9583413428965477
+4+4+6+30-13-13-14,0.71342341750007,0.5758448896130692,CMX,1.128205128205128,1.5216562861623264,6.34676696493675,1.0862560549616131,6.34676696493675,1.083517249390173,0.178045715004972,0.10607339548044215,6.34676696493675,1.0862560549616131,1.083517249390173,1.06,,[],0.12623163672563337,1.7411112077829665,0.12623163672563337,1.6329599603399245,1.06,,[],6.34676696493675,1.06,1.06,1.06,,[],0.11841005410025074,1.4527216904892624,0.11841005410025074,1.3707752669784081,1.06,,[],0.9143220572695385,1.0443718156159303
+7*20/13+13*21/33,0.6804185535517098,0.5641146707654056,PTL,1.3125,5282.907231236062,515.5506608400851,1.0776215805882003,515.5506608400851,1.076360682372055,0.19387581082812194,0.10884045305858506,515.5506608400851,1.114223591001609,1.076360682372055,1.3125,PTL,[5282.90723124],10.115606176112163,1.8511680112689912,10.115606176112163,1.6326633025285469,1.06,,[],685.3468391962798,1.06,1.06,1.3125,PTL,[5282.90723124],4.740313427120367,1.2348961681886488,4.740313427120367,1.1757061531410076,1.06,,[],3.2766157425059266,2.267493571421452
+12*33/14-12*21/24,0.6336316180999756,0.5596093438248921,SMC,1.134724857685009,0.6223585543875274,114.8450253870561,1.06,114.8450253870561,1.0599999999999998,0.16614346938422536,0.08317700307307754,114.8450253870561,1.0831252246205703,1.0599999999999998,1.06,,[],0.20304463771772968,1.8137608392663997,0.20304463771772968,1.6320731065875962,0.8396358287388427,BFC_HSG_TMT,[0.30305349 0.22932175 0.21674118],114.8450253870561,1.06,1.06,1.06,,[],0.10587538021165006,1.3507878904989084,0.10587538021165006,1.2986550176639613,0.9608316802080479,HSG_HAX_THG,[0.22932175 0.17741718 0.1308747 ],0.8250373534946458,0.8903701009240682
+4*20/19-3*9/11,0.8148750906886134,0.6623936945475775,TCO,1.304761904761905,0.005624482250931401,96.94544742902465,1.06,96.94544742902465,1.0599999999999998,0.28700838791030786,0.1604602332025617,0.005416968828736568,1.3085890412835852,1.2835069095900462,1.304761904761905,TCO,[0.00562448],0.001780571859050386,1.7198187274983843,0.001780571859050386,1.6306638575066574,1.285528497861569,MWG_PTB,[0.00381458 0.00343704],0.008159245586935157,1.205705055352834,1.2015312121634503,1.06,,[],0.001780571859050386,1.2487694156873155,0.001780571859050386,1.195412742422337,1.285528497861569,MWG_PTB,[0.00381458 0.00343704],0.9384732840598706,1.0345097409314787
